target_idx,train_idx,rank,method
63,263,13,primary
63,18,14,primary
64,97,0,primary
64,273,1,primary
64,34,2,primary
64,253,3,primary
64,250,4,primary
64,223,5,primary
64,179,6,primary
64,284,7,primary
64,114,8,primary
64,30,9,primary
64,62,10,primary
64,99,11,primary
64,70,12,primary
64,252,13,primary
64,117,14,primary
64,165,15,primary
64,92,16,primary
64,260,17,primary
64,290,18,primary
64,243,19,primary
65,287,0,primary
65,81,1,primary
65,18,2,primary
65,64,3,primary
65,78,4,primary
65,107,5,primary
65,173,6,primary
65,213,7,primary
65,257,8,primary
65,156,9,primary
65,49,10,primary
65,195,11,primary
65,153,12,primary
65,263,13,primary
65,267,14,primary
65,256,15,primary
65,136,16,primary
65,194,17,primary
65,279,18,primary
65,229,19,primary
65,242,20,primary
65,85,21,primary
65,178,22,primary
65,50,23,primary
65,236,24,primary
65,108,25,primary
65,88,26,primary
66,110,0,primary
66,197,1,primary
66,217,2,primary
66,143,3,primary
66,238,4,primary
66,176,5,primary
66,121,6,primary
66,244,7,primary
66,162,8,primary
67,87,0,primary
67,66,1,primary
67,283,2,primary
67,141,3,primary
67,172,4,primary
67,191,5,primary
67,288,6,primary
67,177,7,primary
67,115,8,primary
67,205,9,primary
67,159,10,primary
67,60,11,primary
67,197,12,primary
68,179,0,primary
68,250,1,primary
68,34,2,primary
68,273,3,primary
68,114,4,primary
68,284,5,primary
68,253,6,primary
68,223,7,primary
68,290,8,primary
68,270,9,primary
68,260,10,primary
68,92,11,primary
68,82,12,primary
68,150,13,primary
68,248,14,primary
68,8,15,primary
68,99,16,primary
68,243,17,primary
68,165,18,primary
68,185,19,primary
68,218,20,primary
68,246,21,primary
68,54,22,primary
68,36,23,primary
68,281,24,primary
68,12,25,primary
68,117,26,primary
68,252,27,primary
68,62,28,primary
68,70,29,primary
69,193,0,primary
69,111,1,primary
69,46,2,primary
69,207,3,primary
69,277,4,primary
69,206,5,primary
69,93,6,primary
69,21,7,primary
69,11,8,primary
69,42,9,primary
69,147,10,primary
69,67,11,primary
69,144,12,primary
69,83,13,primary
69,58,14,primary
69,237,15,primary
69,251,16,primary
69,106,17,primary
69,164,18,primary
69,278,19,primary
69,180,20,primary
69,123,21,primary
69,55,22,primary
69,234,23,primary
69,10,24,primary
69,135,25,primary
69,127,26,primary
69,102,27,primary
69,203,28,primary
69,264,29,primary
69,79,30,primary
69,39,31,primary
69,139,32,primary
69,168,33,primary
69,59,34,primary
69,86,35,primary
69,31,36,primary
69,187,37,primary
69,186,38,primary
69,23,39,primary
69,208,40,primary
70,241,0,primary
70,280,1,primary
70,186,2,primary
70,23,3,primary
70,16,4,primary
70,75,5,primary
70,168,6,primary
70,139,7,primary
70,247,8,primary
70,4,9,primary
70,174,10,primary
70,96,11,primary
70,3,12,primary
70,210,13,primary
70,76,14,primary
70,278,15,primary
71,143,0,primary
71,19,1,primary
71,176,2,primary
71,269,3,primary
71,100,4,primary
71,25,5,primary
71,197,6,primary
71,120,7,primary
71,110,8,primary
71,217,9,primary
71,177,10,primary
71,276,11,primary
71,73,12,primary
72,281,0,primary
72,218,1,primary
72,12,2,primary
72,36,3,primary
72,185,4,primary
72,246,5,primary
72,225,6,primary
72,116,7,primary
72,214,8,primary
72,148,9,primary
72,101,10,primary
72,222,11,primary
72,248,12,primary
72,8,13,primary
72,150,14,primary
72,82,15,primary
72,125,16,primary
72,266,17,primary
72,109,18,primary
72,140,19,primary
72,15,20,primary
72,54,21,primary
72,1,22,primary
72,80,23,primary
72,118,24,primary
72,104,25,primary
72,270,26,primary
72,160,27,primary
72,182,28,primary
72,249,29,primary
72,262,30,primary
